PRIM_STATE,NAICS_TITLE,OCC_TITLE,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
US,"Arts, Entertainment, and Recreation",Supervisors of Transportation and Material Moving Workers,32350.0,40200.0,50790.0,62560.0,78520.0
US,"Mining, Quarrying, and Oil and Gas Extraction","Sales Representatives, Wholesale and Manufacturing",47860.0,61600.0,87810.0,107460.0,153600.0
US,Finance and Insurance,Physical Scientists,59240.0,63050.0,89740.0,126320.0,149070.0
US,Administrative and Support and Waste Management and Remediation Services,"Architects, Surveyors, and Cartographers",37320.0,47630.0,60550.0,77450.0,98990.0
US,Manufacturing,Supervisors of Protective Service Workers,50130.0,63840.0,81770.0,104530.0,133180.0
US,Other Services (except Public Administration),Supervisors of Construction and Extraction Workers,38030.0,48470.0,62130.0,78680.0,114150.0
US,Health Care and Social Assistance,Life Scientists,49500.0,62800.0,81690.0,125540.0,153130.0
RI,Cross-industry,Community and Social Service Occupations,30600.0,38320.0,48960.0,76410.0,81020.0
US,Retail Trade,Community and Social Service Occupations,28030.0,30910.0,37310.0,47600.0,61920.0
US,Other Services (except Public Administration),Extraction Workers,31470.0,38000.0,46120.0,51950.0,74320.0
US,Cross-industry,Entertainment Attendants and Related Workers,18010.0,21420.0,24960.0,29760.0,36890.0
US,Health Care and Social Assistance,"Counselors, Social Workers, and Other Community and Social Service Specialists",29370.0,36750.0,46290.0,59770.0,76920.0
US,"Professional, Scientific, and Technical Services","Home Health and Personal Care Aides; and Nursing Assistants, Orderlies, and Psychiatric Aides",22370.0,23780.0,28350.0,36300.0,46300.0
NJ,Cross-industry,Office and Administrative Support Occupations,28990.0,36060.0,46050.0,58620.0,67230.0
US,Information,Entertainment Attendants and Related Workers,17990.0,20840.0,23470.0,29330.0,35760.0
NH,Cross-industry,Computer and Mathematical Occupations,48220.0,62780.0,92460.0,121130.0,152440.0
US,"Mining, Quarrying, and Oil and Gas Extraction","Other Installation, Maintenance, and Repair Occupations",36810.0,46640.0,59790.0,76220.0,94080.0
DE,Cross-industry,Food Preparation and Serving Related Occupations,21500.0,22710.0,27320.0,33740.0,43740.0
US,Manufacturing,Printing Workers,28690.0,30430.0,37960.0,47640.0,59630.0
WA,Cross-industry,Architecture and Engineering Occupations,60460.0,76940.0,98500.0,127130.0,159190.0
US,Information,Art and Design Workers,36400.0,48060.0,71730.0,102260.0,157550.0
MI,Cross-industry,Architecture and Engineering Occupations,48290.0,61550.0,79010.0,100250.0,127130.0
ID,Cross-industry,Personal Care and Service Occupations,17980.0,20000.0,26040.0,33230.0,48090.0
VA,Cross-industry,"Farming, Fishing, and Forestry Occupations",23030.0,28580.0,32780.0,41870.0,50220.0
NY,Cross-industry,Transportation and Material Moving Occupations,28970.0,30320.0,38280.0,55510.0,78060.0
VA,Cross-industry,"Arts, Design, Entertainment, Sports, and Media Occupations",28780.0,37600.0,57540.0,80000.0,105330.0
AR,Cross-industry,Business and Financial Operations Occupations,30760.0,42900.0,60550.0,79400.0,104030.0
US,Real Estate and Rental and Leasing,"Entertainers and Performers, Sports and Related Workers",30150.0,55000.0,82380.0,102660.0,134320.0
US,Wholesale Trade,"Life, Physical, and Social Science Occupations",37690.0,49200.0,75410.0,105500.0,166830.0
US,Cross-industry,Office and Administrative Support Occupations,28010.0,30180.0,38050.0,48490.0,62420.0
US,Administrative and Support and Waste Management and Remediation Services,Personal Appearance Workers,23250.0,34940.0,47330.0,61340.0,81240.0
US,Management of Companies and Enterprises,"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers",35010.0,41330.0,59260.0,76220.0,78890.0
US,Finance and Insurance,Animal Care and Service Workers,83560.0,84260.0,85950.0,93010.0,93140.0
US,Manufacturing,Personal Appearance Workers,35070.0,35860.0,37580.0,45450.0,45460.0
US,"Arts, Entertainment, and Recreation",Communications Equipment Operators,22580.0,24830.0,28990.0,29990.0,36980.0
AZ,Cross-industry,"Farming, Fishing, and Forestry Occupations",28300.0,28410.0,29280.0,33470.0,45460.0
US,Health Care and Social Assistance,Other Personal Care and Service Workers,20260.0,23130.0,28870.0,31680.0,37980.0
NJ,Cross-industry,Building and Grounds Cleaning and Maintenance Occupations,24960.0,29320.0,35450.0,43430.0,49620.0
TX,Cross-industry,Computer and Mathematical Occupations,44930.0,60860.0,89880.0,125930.0,155150.0
US,Retail Trade,Office and Administrative Support Occupations,23640.0,28990.0,33280.0,41010.0,56410.0
US,Finance and Insurance,Other Teachers and Instructors,46760.0,46760.0,56480.0,73530.0,125390.0
US,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)",Rail Transportation Workers,49960.0,61890.0,76800.0,81980.0,82160.0
US,Health Care and Social Assistance,Other Office and Administrative Support Workers,24060.0,29650.0,37050.0,46570.0,50190.0
US,Retail Trade,Other Healthcare Practitioners and Technical Occupations,22900.0,22910.0,36050.0,38200.0,77620.0
US,Educational Services,Engineers,38190.0,60900.0,78880.0,101090.0,130690.0
VA,Cross-industry,Architecture and Engineering Occupations,48280.0,62570.0,88230.0,122000.0,161040.0
US,Other Services (except Public Administration),Sales and Related Occupations,21650.0,26940.0,33910.0,48090.0,73570.0
US,"Arts, Entertainment, and Recreation",Other Management Occupations,37280.0,47840.0,61900.0,93920.0,128190.0
IL,Cross-industry,Sales and Related Occupations,23150.0,27280.0,30100.0,49500.0,80360.0
US,Other Services (except Public Administration),Other Food Preparation and Serving Related Workers,19390.0,23160.0,28430.0,30860.0,36980.0
US,Utilities,Retail Sales Workers,22880.0,29320.0,41470.0,56860.0,59760.0
US,Retail Trade,Financial Clerks,25340.0,30050.0,37720.0,47530.0,59500.0
US,Other Services (except Public Administration),"Supervisors of Installation, Maintenance, and Repair Workers",36610.0,47470.0,60740.0,77800.0,98570.0
MO,Cross-industry,Community and Social Service Occupations,29120.0,36740.0,41510.0,49630.0,62950.0
US,"Agriculture, Forestry, Fishing and Hunting",Supervisors of Production Workers,36490.0,38090.0,48140.0,62040.0,79380.0
US,Manufacturing,Grounds Maintenance Workers,24660.0,29750.0,36360.0,43880.0,50900.0
OH,Cross-industry,Legal Occupations,36880.0,47690.0,75320.0,124740.0,168560.0
US,Information,Food and Beverage Serving Workers,18090.0,20170.0,23780.0,29320.0,31930.0
US,"Professional, Scientific, and Technical Services",Other Personal Care and Service Workers,22390.0,27830.0,35240.0,47440.0,59520.0
US,Finance and Insurance,Communications Equipment Operators,24660.0,29450.0,36980.0,46500.0,53890.0
US,Information,Transportation and Material Moving Occupations,23080.0,29540.0,37020.0,47700.0,74270.0
UT,Cross-industry,Office and Administrative Support Occupations,25460.0,29780.0,37080.0,46980.0,60110.0
US,"Professional, Scientific, and Technical Services",Art and Design Workers,30140.0,43900.0,61730.0,81000.0,124940.0
WA,Cross-industry,Office and Administrative Support Occupations,32890.0,37410.0,46960.0,59250.0,74540.0
OK,Cross-industry,Transportation and Material Moving Occupations,22570.0,27750.0,30850.0,46420.0,59380.0
MI,Cross-industry,Food Preparation and Serving Related Occupations,22650.0,23400.0,26920.0,30460.0,40410.0
WV,Cross-industry,Construction and Extraction Occupations,28940.0,36390.0,47240.0,61040.0,78820.0
US,Wholesale Trade,Media and Communication Equipment Workers,33330.0,38370.0,47910.0,62030.0,79450.0
US,Wholesale Trade,Rail Transportation Workers,35840.0,38960.0,47590.0,69800.0,80290.0
US,Cross-industry,Other Office and Administrative Support Workers,23870.0,29630.0,37180.0,47010.0,59250.0
PA,Cross-industry,"Life, Physical, and Social Science Occupations",37320.0,48110.0,64330.0,92980.0,125970.0
IN,Cross-industry,"Farming, Fishing, and Forestry Occupations",22680.0,28550.0,31760.0,40660.0,48640.0
US,Finance and Insurance,Other Personal Care and Service Workers,21800.0,25790.0,37560.0,49470.0,62070.0
US,Information,"Life, Physical, and Social Science Occupations",37610.0,56700.0,78340.0,104760.0,162790.0
US,Other Services (except Public Administration),Office and Administrative Support Occupations,22860.0,28910.0,36360.0,47030.0,60170.0
WV,Cross-industry,"Installation, Maintenance, and Repair Occupations",23620.0,29850.0,45560.0,60110.0,76600.0
US,Manufacturing,Secretaries and Administrative Assistants,29630.0,36890.0,46690.0,59500.0,76680.0
US,Other Services (except Public Administration),Other Office and Administrative Support Workers,22860.0,28820.0,35090.0,45850.0,52340.0
US,Finance and Insurance,Other Sales and Related Workers,23940.0,29790.0,45110.0,62350.0,93160.0
HI,Cross-industry,Construction and Extraction Occupations,39680.0,49170.0,74380.0,97100.0,101640.0
US,"Federal, State, and Local Government, excluding state and local schools and hospitals and the U.S. Postal Service (OES Designation)",Physical Scientists,49990.0,63750.0,82090.0,112380.0,139610.0
KY,Cross-industry,Production Occupations,26620.0,29920.0,37530.0,47580.0,59970.0
US,Management of Companies and Enterprises,Motor Vehicle Operators,23100.0,28560.0,37260.0,48000.0,59480.0
US,Retail Trade,Woodworkers,27200.0,29420.0,36360.0,45850.0,50900.0
US,Finance and Insurance,Other Healthcare Practitioners and Technical Occupations,37660.0,46880.0,57970.0,76770.0,100030.0
US,"Arts, Entertainment, and Recreation","Librarians, Curators, and Archivists",29570.0,37540.0,48320.0,62710.0,80810.0
US,Other Services (except Public Administration),Production Occupations,22510.0,27420.0,30020.0,43660.0,59620.0
US,Manufacturing,Firefighting and Prevention Workers,47330.0,58180.0,66400.0,82730.0,94840.0
US,Wholesale Trade,Agricultural Workers,22290.0,27540.0,30030.0,37140.0,45870.0
LA,Cross-industry,Business and Financial Operations Occupations,34090.0,46870.0,61040.0,79890.0,104070.0
US,Educational Services,"Textile, Apparel, and Furnishings Workers",23840.0,29350.0,30520.0,38500.0,47480.0
ID,Cross-industry,Building and Grounds Cleaning and Maintenance Occupations,21650.0,23780.0,29260.0,36280.0,39060.0
MS,Cross-industry,Architecture and Engineering Occupations,36820.0,47910.0,72970.0,97390.0,126600.0
US,Wholesale Trade,"Entertainers and Performers, Sports and Related Workers",29550.0,38480.0,60550.0,78510.0,101610.0
LA,Cross-industry,Sales and Related Occupations,17620.0,20320.0,25320.0,37910.0,62610.0
US,Management of Companies and Enterprises,Printing Workers,29610.0,37370.0,37710.0,47490.0,59970.0
US,Manufacturing,Production Occupations,28820.0,30670.0,38050.0,48480.0,61810.0
MN,Cross-industry,"Life, Physical, and Social Science Occupations",39560.0,53480.0,74870.0,98050.0,129290.0
NC,Cross-industry,Construction and Extraction Occupations,29270.0,36090.0,43700.0,49900.0,63960.0
US,"Professional, Scientific, and Technical Services","Helpers, Construction Trades",29190.0,34320.0,37870.0,42210.0,47590.0
US,Information,Religious Workers,30730.0,38670.0,48690.0,50490.0,76950.0
US,Manufacturing,Supervisors of Construction and Extraction Workers,47470.0,58480.0,71020.0,87410.0,104210.0
US,Cross-industry,Other Food Preparation and Serving Related Workers,18510.0,22320.0,27400.0,30140.0,35830.0
US,"Professional, Scientific, and Technical Services",Extraction Workers,32670.0,36940.0,46740.0,60070.0,77000.0
US,Real Estate and Rental and Leasing,Supervisors of Food Preparation and Serving Workers,31070.0,36590.0,46230.0,55970.0,75410.0
US,Manufacturing,Other Protective Service Workers,27200.0,31200.0,39200.0,61360.0,77260.0
US,"Arts, Entertainment, and Recreation",Grounds Maintenance Workers,22440.0,24300.0,29620.0,35300.0,38750.0
